Name,Year,Genre,Director,Writers,Rating,Liked,Acting,Story,Music
Jaane Tu... Ya Jaane Na,2008,"Drama, Comedy, Romance",,Abbas Tyrewala,4,Yes,4,4.5,4
Housefull 4,2019,"Comedy, Drama, Romance",Farhad Samji,"Sajid Samji, Farhad Samji, Tasha Bhambra, Tushar Hiranandani, Aakash Kaushik, Sparsh Khetarpal, Sara Bodinar",0.5,No,0.5,0.5,0
Judwaa 2,2017,"Action, Comedy, Romance",,David Dhawan,0.5,No,0.5,0.5,0
Jai Ho,2014,"Action, Drama",Sohail Khan,"A. R. Murugadoss, Dilip Shukla, Sohail Khan",0.5,No,0.5,0.5,0
Dream Girl,2019,"Drama, Science Fiction, Romance",,"Alexander DiPersia, Alex Holcomb, Lauren Caris Cohan",3.5,Yes,3.5,3.5,3
Om Shanti Om,2007,"Comedy, Thriller, Drama",Farah Khan,"Farah Khan, Mushtaq Sheikh",4,Yes,4,4.5,4
Desi Boyz,2011,"Comedy, Drama",,"Rohit Dhawan, Milap Zaveri",3.5,Yes,3.5,3.5,3
Singh Is Kinng,2008,"Action, Comedy",Anees Bazmee,"Suresh Nair, Anees Bazmee",4.5,Yes,4.5,4.5,4
Badhaai Ho,2018,"Comedy, Romance, Drama",,"Jyoti Kapoor, Akshat Ghildial, Shantanu Srivastava",4,Yes,4,4.5,4
Sonu Ke Titu Ki Sweety,2018,"Romance, Comedy",Luv Ranjan,"Rahul Mody, Luv Ranjan",3.5,Yes,3.5,3.5,3
Dilwale Dulhania Le Jayenge,1995,"Comedy, Drama, Romance",,Aditya Chopra,3.5,Yes,3.5,3.5,3
Dream Girl 2,2023,"Comedy, Romance",Raaj Shaandilyaa,"Raaj Shaandilyaa, Naresh Kathooria",3.5,Yes,3.5,3.5,3
Chandni Chowk to China,2009,"Action, Adventure, Comedy",,Shridhar Raghavan,3,Yes,3,3.5,3
Hum Dil De Chuke Sanam,1999,"Comedy, Drama, Romance",Sanjay Leela Bhansali,"Sanjay Leela Bhansali, Pratap Karvat",4,Yes,4,4.5,4
Gangubai Kathiawadi,2022,"Crime, Drama, History",,"Utkarshini Vashishtha, Sanjay Leela Bhansali",3,No,3,3.5,3
Devdas,2002,"Drama, Romance",Sanjay Leela Bhansali,"Saratchandra Chatterjee, Sanjay Leela Bhansali, Prakash R. Kapadia",4,Yes,4,4.5,4
Bajirao Mastani,2015,"History, Romance, Drama",,Prakash R. Kapadia,5,Yes,5,5,5
Padmaavat,2018,"Drama, History, Romance",Sanjay Leela Bhansali,"Sanjay Leela Bhansali, Prakash R. Kapadia",3,No,3,3.5,3
Goliyon Ki Raasleela Ram-Leela,2013,"Drama, Romance",,"Siddharth Singh, Sanjay Leela Bhansali, Garima Wahal",4.5,Yes,4.5,4.5,4
Roja,1992,Drama,Joseph Bolz,Joseph Bolz,3.5,Yes,3.5,3.5,3
Ponniyin Selvan: Part I,2022,"Action, Adventure, History",,"Jeyamohan, Mani Ratnam, Elango Kumaravel",4.5,Yes,4.5,4.5,4
Dil Se..,1998,"Drama, Romance",Mani Ratnam,"Mani Ratnam, Sujatha Rangarajan, Tigmanshu Dhulia",4,No,4,4.5,4
Ponniyin Selvan: Part II,2023,"Action, Adventure, History, Drama",,"Mani Ratnam, Elango Kumaravel, Jeyamohan",4.5,Yes,4.5,4.5,4
Bombay,1995,,Javier ¡vila,Unknown,4.5,Yes,4.5,4.5,4
Guru,2007,"Drama, Romance",,"Mani Ratnam, Anurag Kashyap",5,Yes,5,5,5
RRR,2022,"Action, Adventure, Drama",S. S. Rajamouli,"Vijayendra Prasad, S. S. Rajamouli",4,Yes,4,4.5,4
Eega,2012,"Fantasy, Action",,"S. S. Rajamouli, Ashwin Gangaraju",3.5,Yes,3.5,3.5,3
BƒÅhubali: The Beginning,2015,Not Found,Not Found,Not Found,4.5,Yes,4.5,4.5,4
BƒÅhubali 2: The Conclusion,2017,Not Found,,Not Found,4,Yes,4,4.5,4
Indiana Jones and the Temple of Doom,1984,"Adventure, Action",Steven Spielberg,"Gloria Katz, Willard Huyck, George Lucas, Philip Kaufman",4.5,Yes,4.5,4.5,4
Minority Report,2002,"Science Fiction, Action, Thriller",,"Scott Frank, Jon Cohen",2.5,No,2.5,2.5,2
The Terminal,2004,"Comedy, Drama",Steven Spielberg,"Sacha Gervasi, Jeff Nathanson, Andrew Niccol",5,Yes,5,5,5
The Lost World: Jurassic Park,1997,"Adventure, Action, Science Fiction",,David Koepp,3.5,Yes,3.5,3.5,3
The Adventures of Tintin,2011,"Adventure, Animation, Mystery",Steven Spielberg,"Edgar Wright, Joe Cornish, Steven Moffat",4,Yes,4,4.5,4
War of the Worlds,2005,"Science Fiction, Thriller",,"Marc Hyman, Kenny Golde",4,Yes,4,4.5,4
Hook,1991,"Adventure, Fantasy, Comedy, Family",Steven Spielberg,"James V. Hart, Malia Scotch Marmo, J.M. Barrie",3.5,Yes,3.5,3.5,3
Bridge of Spies,2015,"Thriller, Drama",,"Joel Coen, Ethan Coen, Matt Charman",5,Yes,5,5,5
Back to the Future,1985,"Adventure, Comedy, Science Fiction",Robert Zemeckis,"Bob Gale, Robert Zemeckis",5,Yes,5,5,5
Back to the Future Part III,1990,"Adventure, Comedy, Science Fiction",,"Bob Gale, Robert Zemeckis",5,Yes,5,5,5
The Walk,2015,"Science Fiction, Thriller, Horror",Francis Lawrence,JT Mollner,4,Yes,4,4.5,4
Following,1998,"Drama, Thriller",,Christopher Nolan,4.5,Yes,4.5,4.5,4
Insomnia,2002,"Thriller, Crime, Drama",Christopher Nolan,Hillary Seitz,3,Yes,3,3.5,3
Ghajini,2008,"Action, Romance, Thriller",,A. R. Murugadoss,4,Yes,4,4.5,4
Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance",Rajkumar Hirani,"Rajkumar Hirani, Abhijat Joshi, Vidhu Vinod Chopra",2.5,No,2.5,2.5,2
3 Idiots,2009,"Drama, Comedy",,"Rajkumar Hirani, Vidhu Vinod Chopra, Abhijat Joshi",5,Yes,5,5,5
PK,2014,"Comedy, Drama, Science Fiction",Rajkumar Hirani,"Rajkumar Hirani, Abhijat Joshi",4.5,Yes,4.5,4.5,4
Dunki,2023,"Adventure, Comedy, Drama",,"Abhijat Joshi, Kanika Dhillon, Rajkumar Hirani, Karan Narvekar",3.5,Yes,3.5,3.5,3
Sanju,2018,Drama,Rajkumar Hirani,"Rajkumar Hirani, Abhijat Joshi",3.5,Yes,3.5,3.5,3
Luck by Chance,2009,"Romance, Drama, Comedy",,Zoya Akhtar,5,Yes,5,5,5
The Archies,2023,"Comedy, Drama, Music, Romance",Zoya Akhtar,"Reema Kagti, Zoya Akhtar, Ayesha DeVitre",3.5,Yes,3.5,3.5,3
Dil Dhadakne Do,2015,"Drama, Family, Romance",,"Zoya Akhtar, Reema Kagti",4,Yes,4,4.5,4
Dil Chahta Hai,2001,"Drama, Romance",Farhan Akhtar,"Farhan Akhtar, Kassim Jagmagia",4.5,Yes,4.5,4.5,4
Lakshya,2004,"War, Action, Drama, Romance",,Javed Akhtar,3.5,No,3.5,3.5,3
Karthik Calling Karthik,2010,"Romance, Thriller",Vijay Lalwani,Vijay Lalwani,4,Yes,4,4.5,4
Fukrey,2013,"Comedy, Drama, Romance",,"Mrighdeep Singh Lamba, Vipul Vig",5,Yes,5,5,5
Fukrey 3,2023,"Comedy, Drama",Mrighdeep Singh Lamba,Vipul Vig,3,No,3,3.5,3
Honeymoon Travels Pvt. Ltd.,2007,"Comedy, Drama, Romance",,Reema Kagti,3.5,Yes,3.5,3.5,3
An Encounter with Faces,1978,,Vidhu Vinod Chopra,Unknown,4,Yes,4,4.5,4
12th Fail,2023,Drama,,"Vidhu Vinod Chopra, Jaskunwar Kohli",4,Yes,4,4.5,4
Jaane Bhi Do Yaaro,1983,"Comedy, Thriller",Sanjay Sharma,Unknown,5,Yes,5,5,5
Khatta Meetha,2010,"Comedy, Drama",,Priyadarshan,3,Yes,3,3.5,3
Billu,2009,"Comedy, Drama",Priyadarshan,"Sreenivasan, Mushtaq Sheikh, Manisha Korde, Priyadarshan",3,Yes,3,3.5,3
De Dana Dan,2009,"Comedy, Crime",,Priyadarshan,3.5,Yes,3.5,3.5,3
Garam Masala,2005,Comedy,Priyadarshan,Priyadarshan,3.5,Yes,3.5,3.5,3
Dhol,2007,Comedy,,"Suresh Krishnan, Manisha Korde",4,Yes,4,4.5,4
Malamaal Weekly,2006,"Comedy, Crime",Priyadarshan,Aishwarya Kaushik,4,Yes,4,4.5,4
Mere Baap Pehle Aap,2008,"Romance, Comedy",,Manisha Korde,2.5,No,2.5,2.5,2
Aakrosh,2010,"Action, Drama, Crime, Thriller",Priyadarshan,"Akash Khurana, Robin Bhatt",4,Yes,4,4.5,4
No Entry,2005,"Comedy, Romance",,Anees Bazmee,4,Yes,4,4.5,4
Thank You,2011,Comedy,Anees Bazmee,"Nisar Akhtar, Kumaar, Amitabh Bhattacharya",3.5,Yes,3.5,3.5,3
No Problem,2010,Drama,,Mariya Agranovich,3.5,Yes,3.5,3.5,3
Sandwich,2006,Drama,Jao Daniel Elamparo,Unknown,3.5,Yes,3.5,3.5,3
Jumanji: Welcome to the Jungle,2017,"Adventure, Comedy, Fantasy, Action",,"Jeff Pinkner, Chris McKenna, Scott Rosenberg, Erik Sommers",2.5,No,2.5,2.5,2
Mrs. Doubtfire,1993,"Comedy, Drama, Family",Chris Columbus,"Randi Mayem Singer, Leslie Dixon, Jeffrey Price, Peter S. Seaman",4,Yes,4,4.5,4
Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure, Fantasy, Family",,Craig Titley,1.5,No,1.5,1.5,1
Pixels,2015,"Action, Comedy, Science Fiction",Chris Columbus,"Tim Herlihy, Patrick Jean, Timothy Dowling",3.5,Yes,3.5,3.5,3
Fantastic Beasts: The Crimes of Grindelwald,2018,"Fantasy, Adventure",,J.K. Rowling,2.5,No,2.5,2.5,2
The Hobbit: The Desolation of Smaug,2013,"Fantasy, Adventure, Action",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson, Guillermo del Toro",4,Yes,4,4.5,4
The Hobbit: The Battle of the Five Armies,2014,"Action, Adventure, Fantasy",,"Guillermo del Toro, Philippa Boyens, Fran Walsh, Peter Jackson",3.5,Yes,3.5,3.5,3
The Chronicles of Narnia: Prince Caspian,2008,"Adventure, Family, Fantasy",Andrew Adamson,"Andrew Adamson, Christopher Markus, Stephen McFeely",3,Yes,3,3.5,3
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure, Family, Fantasy",,"Andrew Adamson, Christopher Markus, Ann Peacock, Stephen McFeely",4,Yes,4,4.5,4
Sardar,1993,Action,Amit Prasher,Unknown,4.5,Yes,4.5,4.5,4
Jackie Brown,1997,"Crime, Drama, Thriller",,Quentin Tarantino,3.5,Yes,3.5,3.5,3
Kaala Patthar,1979,"Drama, Action, Thriller",Yash Chopra,"Salim Khan, Javed Akhtar",5,Yes,5,5,5
Deewaar,1975,"Action, Crime, Drama",,"Salim Khan, Javed Akhtar",3.5,Yes,3.5,3.5,3
BrahmƒÅstra Part One: Shiva,2022,Not Found,Not Found,Not Found,3,Yes,3,3.5,3
Swades,2004,Drama,,"Ayan Mukerji, Ronnie Screwvala, Yashodeep Nigudkar, Lalit Marathe, Amin Hajee, Sameer Sharma, Ashutosh Gowariker, Charlotte Whitby-Coles, M. G. Sathya",4.5,Yes,4.5,4.5,4
Lagaan: Once Upon a Time in India,2001,"Adventure, Drama, History",Ashutosh Gowariker,"Ashutosh Gowariker, Sanjay Dayma, Kumar Dave",3.5,Yes,3.5,3.5,3
Salim Langde Pe Mat Ro,1989,"Crime, Drama",,Saeed Akhtar Mirza,5,Yes,5,5,5
Albert Pinto Ko Gussa Kyoon Aata Hai,1981,"Drama, Comedy, Romance",Saeed Akhtar Mirza,"Saeed Akhtar Mirza, Kundan Shah",4,No,4,4.5,4
Slumdog Millionaire,2008,"Drama, Romance",,Simon Beaufoy,4,Yes,4,4.5,4
The Wonderful Story of Henry Sugar,2023,"Comedy, Fantasy, Drama",Wes Anderson,Wes Anderson,4.5,Yes,4.5,4.5,4
Poison,2023,"Comedy, Drama, Thriller",,Wes Anderson,4.5,Yes,4.5,4.5,4
Mission: Impossible ‚Äì Ghost Protocol,2011,Not Found,Not Found,Not Found,4.5,Yes,4.5,4.5,4
AK vs AK,2020,"Comedy, Action, Drama, Crime",,Avinash Sampath,4,Yes,4,4.5,4
Race,2008,"Action, Thriller, Science Fiction",Paul W. S. Anderson,Paul W. S. Anderson,3.5,Yes,3.5,3.5,3
Race 2,2013,"Action, Thriller, Science Fiction",,"Paul W. S. Anderson, Tony Giglio, Robert Thom, Ib Melchior, Charles B. Griffith",3,Yes,3,3.5,3
Mr. India,1987,"Action, Science Fiction, Drama",Shekhar Kapur,"Javed Akhtar, Salim Khan",5,Yes,5,5,5
Bandit Queen,1994,"Action, Crime, Drama, History",,Mala Sen,4.5,Yes,4.5,4.5,4
Wanted,2009,"Action, Thriller, Crime",Timur Bekmambetov,"Derek Haas, Michael Brandt, Chris Morgan",3.5,Yes,3.5,3.5,3
Taal,1999,"Drama, Romance",,"Sachin Bhowmick, Subhash Ghai",3.5,Yes,3.5,3.5,3
Khal Nayak,1993,"Action, Music",Subhash Ghai,"Ram Kelkar, Subhash Ghai",4,Yes,4,4.5,4
The Night Manager,2023,Not Found,,Not Found,2.5,Yes,2.5,2.5,2
Shootout at Wadala,2013,"Action, Crime, Drama, History",Sanjay Gupta,"Abhijeet Deshpande, Sanjay Bhatia, Sanjay Gupta",2,No,2,2.5,2
Kaabil,2017,"Action, Thriller, Drama",,Vijay Kumar Mishra,3.5,Yes,3.5,3.5,3
Kaante,2002,"Crime, Thriller, Action",Sanjay Gupta,"Sanjay Gupta, Vinay, Yash Keswani, Vinay Kamath",4,Yes,4,4.5,4
Mumbai Saga,2021,"Action, Drama, Crime",,"Robin Bhatt, Sanjay Gupta",0.5,No,0.5,0.5,0
Shootout at Lokhandwala,2007,"Action, Crime, History",Apoorva Lakhia,"Sanjay Gupta, Suresh Nair, Apoorva Lakhia",4.5,Yes,4.5,4.5,4
Hindi Medium,2017,"Comedy, Drama",,"Zeenat Lakhani, Saket Chaudhary",5,Yes,5,5,5
D-Day,2013,"TV Movie, Crime, Drama",S¯ren Kragh-Jacobsen,Unknown,4,Yes,4,4.5,4
Sunday,2008,"Drama, Action, Comedy",,Unknown,3,No,3,3.5,3
Singham,2011,"Drama, Action, Crime",Rohit Shetty,"Yunus Sajawal, Farhad Samji, Sajid Samji",4,Yes,4,4.5,4
Sooryavanshi,2021,"Action, Crime, Thriller",,"Yunus Sajawal, Farhad Samji, Ritesh Shah",2,Yes,2,2.5,2
Simmba,2018,"Action, Comedy, Drama",Rohit Shetty,"Rohit Shetty, Sajid Samji, Yunus Sajawal",0.5,No,0.5,0.5,0
Golmaal ‚Äì Fun Unlimited,2006,Not Found,,Not Found,5,Yes,5,5,5
Golmaal Returns,2008,Comedy,Rohit Shetty,"Yunus Sajawal, Farhad Samji, Sajid Samji",3,Yes,3,3.5,3
Singham Returns,2014,Action,,"Farhad Samji, Sajid Samji",4,Yes,4,4.5,4
Aan: Men at Work,2004,"Action, Crime, Thriller",Madhur Bhandarkar,"Sanjeev Puri, Manoj Tyagi",4,Yes,4,4.5,4
Dil Toh Baccha Hai Ji,2011,"Drama, Comedy, Romance",,"Madhur Bhandarkar, Anil Pandey, Neeraj Udhwani",3,Yes,3,3.5,3
Heroine,2012,Drama,Aman Saji Dominic,Aman Saji Dominic,3.5,No,3.5,3.5,3
Vaah! Life Ho Toh Aisi!,2005,"Drama, Comedy, Family, Fantasy",,Mahesh Manjrekar,4,Yes,4,4.5,4
Double Dhamaal,2011,"Comedy, Crime",Indra Kumar,Tushar Hiranandani,3,Yes,3,3.5,3
Kidnap,2008,"Action, Thriller",,Knate Gwaltney,3.5,Yes,3.5,3.5,3
Department,2012,Horror,Adam York,Dave Harlequin,3.5,Yes,3.5,3.5,3
Rascals,2011,"Romance, Comedy, Family",,"Paul Guay, Stephen Mazur, Penelope Spheeris, Robert Wolterstorff, Mike Scott",2.5,No,2.5,2.5,2
Partner,2007,"Comedy, Romance",David Dhawan,David Dhawan,4,Yes,4,4.5,4
Main Tera Hero,2014,"Romance, Comedy",,Tushar Hiranandani,3.5,Yes,3.5,3.5,3
Maine Pyaar Kyun Kiya?,2005,"Comedy, Drama, Romance",David Dhawan,Rumi Jaffery,4,No,4,4.5,4
Coolie No. 1,1995,"Comedy, Drama",,Rumi Jaffery,4,Yes,4,4.5,4
Bade Miyan Chote Miyan,1998,Action,Ali Abbas Zafar,"Ali Abbas Zafar, Aditya Basu",4,Yes,4,4.5,4
Hero No. 1,1997,"Drama, Comedy, Romance",,Rumi Jaffery,4,Yes,4,4.5,4
Chashme Baddoor,2013,"Comedy, Drama",David Dhawan,"Sai Paranjape, Renuka Kunzru, Farhad Samji, Sajid Samji",2.5,Yes,2.5,2.5,2
Kyo Kii... Main Jhuth Nahin Bolta,2001,Comedy,,"Imtiaz Patel, David Dhawan",3.5,Yes,3.5,3.5,3
Ek Aur Ek Gyarah: By Hook or by Crook,2003,"Action, Comedy, Crime",David Dhawan,Unknown,3.5,Yes,3.5,3.5,3
Chashme Buddoor,1981,"Comedy, Romance",,Sai Paranjape,4,Yes,4,4.5,4
Yeh Jawaani Hai Deewani,2013,"Romance, Comedy",Ayan Mukerji,Ayan Mukerji,3.5,Yes,3.5,3.5,3
Angoor,1982,Comedy,,Gulzar,4.5,Yes,4.5,4.5,4
Anand,1971,Drama,Hrishikesh Mukherjee,"Hrishikesh Mukherjee, Bimal Dutta, Gulzar, D.N. Mukherjee",5,Yes,5,5,5
Gol Maal,1979,Comedy,,"Sachin Bhowmick, Sailesh Dey",5,Yes,5,5,5
Chupke Chupke,1975,"Drama, Romance",Roshaan Garry Bhinder,"Shyam Goel, Neeraj Vora",5,Yes,5,5,5
Bawarchi,1972,"Comedy, Drama, Family",,"Tapan Sinha, Hrishikesh Mukherjee",5,Yes,5,5,5
Guide,1965,"Romance, Drama",Vijay Anand,Vijay Anand,5,Yes,5,5,5
Mera Naam Joker,1970,"Drama, Romance, Music",,Khwaja Ahmad Abbas,5,Yes,5,5,5
Govinda Naam Mera,2022,"Comedy, Drama, Romance",Shashank Khaitan,Shashank Khaitan,1.5,No,1.5,1.5,1
The Empire Strikes Back,1980,"Adventure, Action, Science Fiction",,"Leigh Brackett, Lawrence Kasdan, George Lucas",4.5,Yes,4.5,4.5,4
The Fast and the Furious,2001,"Action, Crime, Drama",John Ireland,"Roger Corman, Jean Howell, Jerome Odlum",5,Yes,5,5,5
2 Fast 2 Furious,2003,"Action, Crime, Thriller",,"Michael Brandt, Gary Scott Thompson, Derek Haas",1.5,No,1.5,1.5,1
The Fast and the Furious: Tokyo Drift,2006,"Action, Crime, Drama, Thriller",Justin Lin,"Chris Morgan, Gary Scott Thompson",5,Yes,5,5,5
Fast & Furious,2009,"Action, Adventure, Comedy",,"Gary Scott Thompson, Chris Morgan, Drew Pearce",4.5,Yes,4.5,4.5,4
Fast Five,2011,"Action, Thriller, Crime",Justin Lin,"Chris Morgan, Gary Scott Thompson",4.5,Yes,4.5,4.5,4
Fast & Furious 6,2013,"Action, Thriller, Crime",,"Chris Morgan, Gary Scott Thompson",4.5,Yes,4.5,4.5,4
Furious 7,2015,"Action, Crime, Thriller",James Wan,"Gary Scott Thompson, Chris Morgan",5,Yes,5,5,5
The Fate of the Furious,2017,"Action, Crime, Thriller",,"Gary Scott Thompson, Chris Morgan",1.5,No,1.5,1.5,1
F9,2021,"Action, Adventure, Crime",Justin Lin,"Justin Lin, Alfredo Botello, Daniel Casey, Gary Scott Thompson",1,No,1,1.5,1
Need for Speed,2014,"Action, Crime, Drama, Thriller",,"George Gatins, John Gatins",4,Yes,4,4.5,4
The Wolverine,2013,"Action, Science Fiction, Adventure",James Mangold,"Mark Bomback, Scott Frank",4,Yes,4,4.5,4
X-Men Origins: Wolverine,2009,"Adventure, Action, Science Fiction",,"David Benioff, Skip Woods",3,Yes,3,3.5,3
X-Men: The Last Stand,2006,"Adventure, Action, Science Fiction, Thriller",Brett Ratner,"Simon Kinberg, Zak Penn",3,Yes,3,3.5,3
X-Men,2000,"Science Fiction, Fantasy, Action",,"Bryan Singer, Michael Dougherty, Dan Harris, Simon Kinberg",3.5,Yes,3.5,3.5,3
X2,2003,Documentary,Bill Weiss,Unknown,3,Yes,3,3.5,3
X-Men: First Class,2011,"Documentary, TV Movie",,Tim Postins,5,Yes,5,5,5
X-Men: Days of Future Past,2014,"Action, Adventure, Science Fiction",Bryan Singer,"Simon Kinberg, Matthew Vaughn, Jane Goldman",5,Yes,5,5,5
X-Men: Apocalypse,2016,"Science Fiction, Fantasy, Action",,"Bryan Singer, Michael Dougherty, Dan Harris, Simon Kinberg",5,Yes,5,5,5
Dark Phoenix,2019,"Science Fiction, Action, Adventure",Simon Kinberg,Simon Kinberg,1.5,No,1.5,1.5,1
Captain America: Civil War,2016,"Adventure, Action, Science Fiction",,"Stephen McFeely, Christopher Markus, Jack Kirby, Joe Simon",4.5,Yes,4.5,4.5,4
Thor: Ragnarok,2017,"Action, Science Fiction, Comedy",Taika Waititi,"Craig Kyle, Christopher L. Yost, Eric Pearson",5,Yes,5,5,5
Thor,2011,"Adventure, Fantasy, Action",,"Don Payne, J. Michael Straczynski, Ashley Miller, Zack Stentz, Mark Protosevich",2,No,2,2.5,2
Justice League,2017,"Action, Adventure, Science Fiction",Zack Snyder,"Jack Kirby, Gardner Fox, Chris Terrio, Bob Kane, Jerry Siegel, Bill Finger, Joe Shuster, Zack Snyder, Joss Whedon",1.5,No,1.5,1.5,1
Man of Steel,2013,"Action, Adventure, Science Fiction",,"Jerry Siegel, David S. Goyer, Joe Shuster, Christopher Nolan",3.5,Yes,3.5,3.5,3
Aquaman,2018,"Action, Adventure, Fantasy",James Wan,"Paul Norris, James Wan, Mort Weisinger, Geoff Johns, Will Beall, David Leslie Johnson-McGoldrick",3,No,3,3.5,3
Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy",,"Gardner Fox, Jack Kirby, Bill Finger, Bob Kane, Jerry Siegel, Joe Shuster, William Moulton Marston, Chris Terrio, Zack Snyder, Will Beall, George PÈrez, Marv Wolfman, Mort Weisinger, Paul Norris",5,Yes,5,5,5
Star Wars: The Force Awakens,2015,"Adventure, Action, Science Fiction",J.J. Abrams,"George Lucas, Michael Arndt, Lawrence Kasdan, J.J. Abrams",2.5,Yes,2.5,2.5,2
Captain Marvel,2019,"Action, Adventure, Science Fiction",,"Jack Kirby, Joe Simon, Geneva Robertson-Dworet, Ryan Fleck, Anna Boden, Meg LeFauve, Nicole Perlman",0.5,No,0.5,0.5,0
Fantastic Four: Rise of the Silver Surfer,2007,"Science Fiction, Adventure, Action",Tim Story,"Stan Lee, Jack Kirby, Don Payne, Mark Frost, John Turman",4.5,Yes,4.5,4.5,4
Venom,2018,"Science Fiction, Action",,"Todd McFarlane, Jeff Pinkner, David Michelinie, Scott Rosenberg, Kelly Marcel",1,No,1,1.5,1
Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Fantasy",Zack Snyder,"William Moulton Marston, David S. Goyer, Joe Shuster, Bob Kane, Jerry Siegel, Chris Terrio, Bill Finger",4,Yes,4,4.5,4
Guardians of the Galaxy Vol. 2,2017,"Science Fiction, Adventure, Action",,"Jack Kirby, Larry Lieber, Bill Mantlo, Steve Gan, Jim Starlin, Stan Lee, Keith Giffen, Steve Englehart, Val Mayerik, Steve Gerber, James Gunn",4,Yes,4,4.5,4
Transformers: Dark of the Moon,2011,"Action, Science Fiction, Adventure",Michael Bay,Ehren Kruger,5,Yes,5,5,5
Fantastic Four,2005,"Action, Fantasy, Science Fiction",,"Mark Frost, Michael France",4,Yes,4,4.5,4
Star Trek Into Darkness,2013,"Action, Adventure, Science Fiction",J.J. Abrams,"Roberto Orci, Alex Kurtzman, Damon Lindelof",4,Yes,4,4.5,4
The Flash,2023,"Action, Science Fiction, Adventure",,"Gardner Fox, Harry Lampert, Joe Shuster, Jerry Siegel, Carmine Infantino, Robert Kanigher, Bill Finger, William Moulton Marston, Bob Kane, Christina Hodson",2.5,No,2.5,2.5,2
Loki,2021,,Unknown,Unknown,5,Yes,5,5,5
Superman Returns,2006,"Science Fiction, Action, Adventure",,"Michael Dougherty, Dan Harris, Jerry Siegel, Joe Shuster, Bryan Singer",4.5,No,4.5,4.5,4
Star Trek Beyond,2016,"Action, Adventure, Science Fiction",Justin Lin,"Simon Pegg, Doug Jung",3.5,No,3.5,3.5,3
Star Trek,2009,"Science Fiction, Action, Adventure",,"Roberto Orci, Alex Kurtzman",4.5,Yes,4.5,4.5,4
Transformers: The Last Knight,2017,"Action, Adventure, Science Fiction",Michael Bay,"Akiva Goldsman, Ken Nolan, Art Marcum, Matt Holloway",1,No,1,1.5,1
Transformers,2007,"Animation, Science Fiction, Adventure, Family",,"Andrew Barrer, Eric Pearson, Gabriel Ferrari",4.5,Yes,4.5,4.5,4
Superman II,1980,"Science Fiction, Action, Adventure",Richard Lester,"Joe Shuster, Mario Puzo, David Newman, Leslie Newman, Jerry Siegel",4,Yes,4,4.5,4
The Incredible Hulk,2008,"Science Fiction, Action, Adventure",,Zak Penn,4,Yes,4,4.5,4
Black Panther,2018,"Action, Adventure, Science Fiction",Ryan Coogler,"Ryan Coogler, Joe Robert Cole",1.5,No,1.5,1.5,1
The Mummy Returns,2001,"Adventure, Action, Fantasy",,Stephen Sommers,4.5,Yes,4.5,4.5,4
Kahaani,2012,"Comedy, Drama, Family, Romance",Karan Johar,"Sumit Roy, Ishita Moitra, Shashank Khaitan",4,Yes,4,4.5,4
Rab Ne Bana Di Jodi,2008,"Comedy, Drama, Romance",,Aditya Chopra,4,Yes,4,4.5,4
Mohabbatein,2000,"Drama, Romance",Aditya Chopra,Aditya Chopra,3.5,Yes,3.5,3.5,3
Dostana,2008,"Drama, Comedy, Romance",,Tarun Mansukhani,3.5,Yes,3.5,3.5,3
Krrish,2006,"Action, Science Fiction",Rakesh Roshan,"Akarsh Khurana, Sachin Bhowmick, Rakesh Roshan, Honey Irani, Robin Bhatt",4,Yes,4,4.5,4
The Prestige,2006,"Drama, Mystery, Science Fiction",,"Christopher Nolan, Jonathan Nolan",5,Yes,5,5,5
Agneepath,2012,"Action, Crime, Drama",Karan Malhotra,"Karan Malhotra, Ila Dutta Bedi",3,Yes,3,3.5,3
Agneepath,1990,"Action, Crime, Drama",,"Karan Malhotra, Ila Dutta Bedi",4,Yes,4,4.5,4
Raees,2017,"Thriller, Action, Crime",Rahul Dholakia,"Rahul Dholakia, Niraj Shukla, Harit Mehta, Ashish Vashi",2.5,Yes,2.5,2.5,2
Sholay,1975,Action,,"Salim Khan, Javed Akhtar",4,Yes,4,4.5,4
Rowdy Rathore,2012,"Action, Comedy, Crime",Prabhu Deva,"Shiraz Ahmed, A. C. Mugil",3,Yes,3,3.5,3
The Princess Diaries,2001,"Comedy, Family, Romance",,Gina Wendkos,3,Yes,3,3.5,3
Five Nights at Freddy's,2023,"Horror, Thriller",Emma Tammi,Scott Cawthon,2,No,2,2.5,2
Angrezi Medium,2020,"Drama, Comedy",,"Bhavesh Mandalia, Gaurav Shukla, Sara Bodinar, Vinay Chhawal",2,No,2,2.5,2
Incredibles 2,2018,"Action, Adventure, Animation, Family",Brad Bird,Brad Bird,3,No,3,3.5,3
The Incredibles,2004,"Action, Adventure, Animation, Family",,Brad Bird,4,Yes,4,4.5,4
Gravity,2013,"Science Fiction, Thriller, Drama",Alfonso CuarÛn,"Alfonso CuarÛn, Jon·s CuarÛn",2.5,No,2.5,2.5,2
